route_id,dep_airport
865,Rabil Airport
866,Sao Filipe Airport
867,Sao Pedro Airport
868,Sao Pedro Airport
869,Sao Pedro Airport
870,Sao Pedro Airport
871,Ben Gurion International Airport
872,Cologne Bonn Airport
873,Donetsk International Airport
874,Dortmund Airport
875,Dortmund Airport
876,Girona Airport
877,Girona Airport
878,Il Caravaggio International Airport
879,Il Caravaggio International Airport
880,Katowice International Airport
881,Kharkiv International Airport
882,Kiev Zhuliany International Airport
883,Kiev Zhuliany International Airport
884,Kiev Zhuliany International Airport
885,Kiev Zhuliany International Airport
886,Kiev Zhuliany International Airport
887,Kiev Zhuliany International Airport
888,Kiev Zhuliany International Airport
889,Kiev Zhuliany International Airport
890,Kiev Zhuliany International Airport
891,Kiev Zhuliany International Airport
892,Kiev Zhuliany International Airport
893,Kopitnari Airport
894,Kopitnari Airport
895,Kopitnari Airport
896,Larnaca International Airport
897,Leonardo da Vinci Fiumicino Airport
898,Lviv International Airport
899,Lviv International Airport
900,Lviv International Airport
901,Lviv International Airport
902,Lviv International Airport
903,Lviv International Airport
904,Lviv International Airport
905,Lviv International Airport
906,Memmingen Allgau Airport
907,Naples International Airport
908,Treviso-Sant'Angelo Airport
909,Treviso-Sant'Angelo Airport
910,Valencia Airport
911,Valencia Airport
912,Vilnius International Airport
913,Adelaide International Airport
914,Adelaide International Airport
915,Adelaide International Airport
916,Adelaide International Airport
917,Adelaide International Airport
918,Adelaide International Airport
919,Adelaide International Airport
920,Adelaide International Airport
921,Albury Airport
922,Albury Airport
923,Armidale Airport
924,Ballina Byron Gateway Airport
925,Ballina Byron Gateway Airport
926,Bathurst Airport
927,Bathurst Airport
928,Broken Hill Airport
929,Broken Hill Airport
930,Broken Hill Airport
931,Broken Hill Airport
932,Ceduna Airport
933,Coober Pedy Airport
934,Dubbo City Regional Airport
935,Dubbo City Regional Airport
936,Grafton Airport
937,Griffith Airport
938,Griffith Airport
939,Julia Creek Airport
940,Julia Creek Airport
941,King Island Airport
942,Kingscote Airport
943,Lismore Airport
944,Longreach Airport
945,Melbourne International Airport
946,Melbourne International Airport
947,Melbourne International Airport
948,Melbourne International Airport
949,Melbourne International Airport
950,Melbourne International Airport
951,Melbourne International Airport
952,Merimbula Airport
953,Merimbula Airport
954,Merimbula Airport
955,Mildura Airport
956,Mildura Airport
957,Mildura Airport
958,Mildura Airport
959,Moruya Airport
960,Moruya Airport
961,Mount Gambier Airport
962,Mount Gambier Airport
963,Mount Isa Airport
964,Mount Isa Airport
965,Narrandera Airport
966,Narrandera Airport
967,Newcastle Airport
968,Newcastle Airport
969,Orange Airport
970,Parkes Airport
971,Parkes Airport
972,Port Lincoln Airport
973,Richmond Airport
